UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
3800,48752,UK,16-03-2020,advice Talk to your neighbours family to exchange phone numbers create contact list with phone numbers of neighbours schools employer chemist GP set up online shopping accounts if poss adequate supplies of regular meds but not over order,Positive
3801,48753,Vagabonds,16-03-2020,"Coronavirus Australia: Woolworths to give elderly, disabled dedicated shopping hours amid COVID-19 outbreak https://t.co/bInCA9Vp8P",Positive
3802,48754,,16-03-2020,"My food stock is not the only one which is empty...

PLEASE, don't panic, THERE WILL BE ENOUGH FOOD FOR EVERYONE if you do not take more than you need. 
Stay calm, stay safe.

#COVID19france #COVID_19 #COVID19 #coronavirus #confinement #Confinementotal #ConfinementGeneral https://t.co/zrlG0Z520j",Positive
3803,48755,,16-03-2020,"Me, ready to go at supermarket during the #COVID19 outbreak.

Not because I'm paranoid, but because my food stock is litteraly empty. The #coronavirus is a serious thing, but please, don't panic. It causes shortage...

#CoronavirusFrance #restezchezvous #StayAtHome #confinement https://t.co/usmuaLq72n",Extremely Negative
3804,48756,"ÃT: 36.319708,-82.363649",16-03-2020,"As news of the regionÂs first confirmed COVID-19 case came out of Sullivan County last week, people flocked to area stores to purchase cleaning supplies, hand sanitizer, food, toilet paper and other goods, @Tim_Dodson reports https://t.co/cfXch7a2lU",Positive
3805,48757,"35.926541,-78.753267",16-03-2020,"Cashier at grocery store was sharing his insights on #Covid_19 To prove his credibility he commented ""I'm in Civics class so I know what I'm talking about"". https://t.co/ieFDNeHgDO",Positive
3807,48759,"Atlanta, GA USA",16-03-2020,"Due to COVID-19 our retail store and classroom in Atlanta will not be open for walk-in business or classes for the next two weeks, beginning Monday, March 16.  We will continue to process online and phone orders as normal! Thank you for your understanding! https://t.co/kw91zJ5O5i",Positive
3808,48760,"BHAVNAGAR,GUJRAT",16-03-2020,"For corona prevention,we should stop to buy things with the cash and should use online payment methods because corona can spread through the notes. Also we should prefer online shopping from our home. It's time to fight against COVID 19?. #govindia #IndiaFightsCorona",Negative
3810,48762,"Pitt Meadows, BC, Canada ",16-03-2020,"Due to the Covid-19 situation, we have increased demand for all food products. 

The wait time may be longer for all online orders, particularly beef share and freezer packs. 

We thank you for your patience during this time.",Extremely Positive
3811,48763,Horningsea,16-03-2020,"#horningsea is a caring community. LetÂs ALL look after the less capable in our village and ensure they stay healthy. Bringing shopping to their doors, help with online shopping and self isolation if you have symptoms or been exposed to somebody who has. https://t.co/lsGrXXhjhh",Extremely Positive
3812,48764,"Chicago, IL",16-03-2020,"Me: I don't need to stock up on food, I'll just have Amazon deliver whatever I need #CoronaVirus

Amazon: https://t.co/8YWaKFjExC",Positive
3813,48765,,16-03-2020,ADARA Releases COVID-19 Resource Center for Travel Brands: Insights Help Travel Brands Stay Up-To-Date on Consumer Travel Behavior Trends https://t.co/PnA797jDKV https://t.co/dQox6uSihz,Positive
3814,48766,"Houston, Texas",16-03-2020,"Lines at the grocery store have been unpredictable, but is eating out a safe alternative? 

Find out more about whether you should be avoiding restaurants right now:  https://t.co/9idZSis5oQ

#coronavirus #covid19 https://t.co/ZHbh898lf6",Positive
3817,48769,North America,16-03-2020,"Amazon Glitch Stymies Whole Foods, Fresh Grocery Deliveries
ÂAs COVID-19 has spread, weÂve seen a significant increase in people shopping online for groceries,Â a spokeswoman said in a statement. ÂToday this resulted in a systems impact affecting our ...
 https://t.co/TbzZ2MC3b3",Extremely Positive
3818,48770,"Denver, CO",16-03-2020,"For those who aren't struggling, please consider donating to a food bank or a nonprofit. The demand for these services will increase as COVID-19 impacts jobs, and people's way of life.",Positive
3819,48771,southampton soxx xxx,16-03-2020,with 100  nations inficted with  covid  19  the world must  not  play fair with china  100 goverments must demand  china  adopts new guilde  lines on food safty  the  chinese  goverment  is guilty of  being  irosponcible   with life  on a global scale,Extremely Negative
3821,48773,,16-03-2020,"We have AMAZING CHEAP DEALS! FOR THE #COVID2019 going on to help you???
#Trials
#Monthly
#Yearly 
And Resonable #Prices / #Subscriptions
Just DM US! #bestiptv #iptv #Service #Iptv #iptvdeals #Cheap #ipTV #Football #HD #Movies #Adult #Cinema #hotmovies #iptvnew #iptv2020 #Adult",Extremely Positive
3822,48774,,16-03-2020,"We have AMAZING CHEAP DEALS! FOR THE #COVID2019 going on to help you???
#Trials
#Monthly
#Yearly 
And Resonable #Prices / #Subscriptions
Just DM US! #bestiptv #iptv #Service #Iptv #iptvdeals #Cheap #ipTV #Football #HD #Movies #Adult #Cinema #hotmovies #ipTv IPTVLinks #18Movies",Extremely Positive
3823,48775,Downstage centre,16-03-2020,@10DowningStreet @grantshapps what is being done to ensure food and other essential products are being re-stocked at supermarkets and panic buying actively discouraged? It cannot be left to checkout staff to police the actions of the selfish and profiteer,Negative
3824,48776,London,16-03-2020,UK #consumer poll indicates the majority expect #covid19's impact to last 4-12 months (at 12 March). We expect this to increase at the next #tracker... See full results of the @RetailX Coronavirus Consumer Confidence Tracker here: https://t.co/K3uJlcjqDB https://t.co/9G3kgqIXJ8,Extremely Positive
3825,48777,"Ketchum, Idaho",16-03-2020,"In preparation for higher demand and a potential food shortage, The Hunger Coalition purchased 10 percent more food and implemented new protocols due to the COVID-19 coronavirus. https://t.co/5CecYtLnYn",Negative
3826,48778,Everywhere You Are!,16-03-2020,"This morning I tested positive for Covid 19. I feel ok, I have no symptoms so far but have been isolated since I found out about my possible exposure to the virus.  Stay home people and be pragmatic. I will keep you updated on how IÂm doing ???? No panic. https://t.co/Lg7HVMZglZ",Extremely Negative
3827,48779,"New York, NY",16-03-2020,"Do you see malicious price increases in NYC? The NYC Department of Consumer and Worker Protection (DCWP) has set up a page to digitally file a complaint. Click here: https://t.co/oEx6Y8mm2K

To file a complaint (use the word""Overcharge"") https://t.co/MdMmoBttOP
#COVID19 #CovidNYC",Negative
3828,48780,"Someplace, USA",16-03-2020,"@7SealsOfTheEnd Soon with dwindling supplies unlawful Panicky people will be breaking into Closed Stores &amp; Supermarkets to Raid them as they normally do during a Crisis so massive as the #Coronavirus

#StockUp&amp;LockUp",Extremely Negative
3829,48781,,16-03-2020,There Is of in the Country  The more empty shelves people see the more buying ensues the more food is out of stock,Negative
3830,48782,,16-03-2020,"'Hole' Foods...

...images from the nicest grocery store in one of the richest neighborhoods in the United States.

https://t.co/WnQSoMtkVI

#BreakingNews #Breaking #Coronavirus #CoronavirusOutbreak #COVID19 #COVID?19 #COVID_19 #COVID2019 #Collapse",Extremely Positive
3832,48784,"Virginia, USA",16-03-2020,"Coronavirus fun fact: if you cough at the grocery store, you get the whole aisle to yourself pretty quickly.
#CoronavirusOutbreak #coronavirus #COVID2019",Extremely Positive
3833,48785,"London, England",16-03-2020,"We're sorry to say that our @FinFabUK event is being cancelled due to Covid-19. The health and wellbeing of our attendees, speakers and staff is our top priority. Apologies for any disappointment this may cause. All FAQs are answered in the link below:
https://t.co/GDDPTudCvj",Negative
3835,48787,Where The Wild Things Are,16-03-2020,"Yes, buy only what you need.

But what's the point of posting photos of those people in the supermarket with a load of stuff? They could be buying for all their elderly parents, kids, siblings, etc who can't buy for themselves

Not everything needs to be viral, Covid-19 alr is",Positive
3836,48788,Canada,16-03-2020,Worried about the impact of the current COVID-19 pandemic on your finances? WeÂve just published some tips to help you manage your money during these challenging times. #COVID19 https://t.co/3jKK3CqXfQ https://t.co/EbEnURmmJS,Positive
3837,48789,,16-03-2020,"my wife works retail&amp;a customer came in yesterday, coughing everywhere, saying they have CoVid-19. They requested a deep clean of the store - her company objected to due to cost, recommending the team spray disinfectant&amp;clean themselves. we're gonna die/get sick due to capitalism",Negative
3838,48790,United States,16-03-2020,Now I can go to the supermarket like this without being judged! ? #CoronavirusOutbreak #COVID2019 https://t.co/krTCGiUHQS,Positive
3839,48791,"Fort Worth, Texas",16-03-2020,"We're here to provide a safe shopping experience for our customers and a healthy environment for our associates and community!
Online orders can be placed here: https://t.co/dCSXHUj3U0

#jlmco #jlmcobrand #coronapocolypse #coronavirus #CoronavirusOutbreak  #COVID19 #shoponline https://t.co/riNKwskeRS",Extremely Positive
3840,48792,,16-03-2020,"Curious,  do we think retail shoppers will do a lot of online shopping bc they're home and unable to go out or do we think everyone is too spooked to get that extra pair of shoes? #economy #onlineshopping #coronavirus #covid19 #stayhome",Positive
3841,48793,Houston,16-03-2020,CHECK VIDEO ?? https://t.co/1ksn9Brl02 ??No food ? in USA market due to coronavirus panic we gonna die from starvation #CoronavirusOutbreak #coronavirus #houston #nofood #Notoiletpaper #NoHandShakes #nohandsanitizer #COVID19 #pandemic #totallockdown #COVID2019usa #walmart https://t.co/ztN3iMkgpD,Extremely Negative
3844,48796,Midrand,16-03-2020,"South Africans stock up on food, basic goods as coronavirus panic hits https://t.co/6nGNFJmy89

#CoronaVirusSA 
#Covid_19 https://t.co/pzirO10avf",Negative
3845,48797,Drogheda,16-03-2020, Please Share  Know someone who s 65 Living on their own struggling to get 2 their local supermarket due to issues around 19 We re offering FREE deliveries of our healthy soups NATIONWIDE to anyone 65 in need Plus their freezable,Extremely Positive
3846,48798,"Columbia, MO",16-03-2020,"People posting and sharing photos of of half to completely empty shelves calling those people ""dumb"" or ""idiots."" All while shopping at the grocery store. lol

#coronavirus #COVID19",Positive
3847,48799,"Arkansas, USA",16-03-2020,"Never thought I'd say this, but. 2019, Will you come back!? PLEASE! #coronavirus #COVID19 #peoplearelosingtheirminds #StopTheMadness #stoppanicbuying",Extremely Positive
3849,48801,"Washington, DC",16-03-2020,"""Everything weÂre seeing in the current COVID-19 outbreak has been seen before in previous epidemics and pandemics; the rise of fear, racism, panic buying of food and medicines, conspiracy theories, the proliferation of quack cures"" https://t.co/Pr8NpKX41A",Extremely Negative
3851,48803,"Ogden, UT",16-03-2020,"Why we stock up on water... cause utility companies will shut you off in the middle of a pandemic... the schools close thier doors, you lose out on work cause your kid has no where to go... and you canÂt afford months worth of food. #coronavirus @SenatorRomney https://t.co/0CV0793olS",Negative
3852,48804,,16-03-2020,"Dear Coronavirus, 
I've been following social distancing rules and staying home to prevent the spread of you.  However, now I've spent an alarming amount of money shopping online.  Where can I submit my expenses to for reimbursement? Let me know.
#coronapocolypse #coronavirus",Positive
3853,48805,,16-03-2020,Global food prices before the spread of COVID 19 intensified across several geographies We could see further downward pressures in the coming months due to continued well supplied markets and the negative impact on demand resulting from the virus,Extremely Negative
3854,48806,"West Midlands, England",16-03-2020,Morning everyone have a great and safe day. ??? #coronavirus #StopPanicBuying #BeKind #mufc #MUFC_Family,Extremely Positive
3855,48807,"Reno, NV",16-03-2020,"Of all the things to panic buy in an emergency, I don't get why toilet paper is so important. If you're afraid of the worst case scenario, just wash up in the tub and use your money on food. Y'all crazy. #coronavirus",Extremely Negative
3856,48808,San Clemente,16-03-2020,"THANK YOUR GROCERY CLERK!
Went to grocery store today and looked into the weary eyes of the clerk.
I thanked her and realized that she was thrust on the front line of this panick. A new breed of first responders? They are working hard to serve their communities. #coronavirus",Positive
3857,48809,,16-03-2020,"With the outbreak of Covid-19 in entire world, the retail shops in Malaysia is facing a great challenges. In the near future, online shopping will be a surprise way for all the people while many will lost their jobs. #Malaysia2020 #Malaysia #COVID?19",Extremely Positive
3859,48811,"Spokane Valley, WA",16-03-2020,"Consumer Corner: #Scammers Taking Advantage Of #COVID-19 Fears

#coronavirus #cdc #flu #trends #alert

https://t.co/sk9qCJsnYl https://t.co/T7qejP3hys",Negative
3861,48813,"Hamilton, Ontario",16-03-2020,"My work is capitalizing on the  demand for packaged food and making us stay open as opposed to closing for all our health and safety #LockdownCanada
#coronavirus",Positive
3862,48814,"Dallas, TX",16-03-2020,"So, are we feeling like it's ethical to still do stuff like order deliveries (food, online shopping, etc.), ship ""isolation"" care packages to loved ones, etc.? #COVID2019",Extremely Positive
3864,48816,,16-03-2020,Bought a house during Covid-19 panic. DidnÂt think to buy food for the house. Tragic.,Extremely Negative
3865,48817,The European Union,16-03-2020,Seen in a Facebook group - businesses need to stop increasing prices on essentials while we are in an emergency situation - itÂs frankly despicable and is totally void community spirit! #nameandshame #covid?19uk #coronavirus #Liverpool https://t.co/StTAkyqQiZ,Negative
3866,48818,"London, England",16-03-2020,"@BobJLowe Sadly those are the misinformed thinking that COVID-19 gives diarrhoea, therefore they had to stock-pile toilet papers. ? ATM, hygiene and food are more important.",Negative
3867,48819,Melissa Schuman is a Liar ??,16-03-2020,@TinaMcCauley70 Yeah my parents are risky people to the covid 19 thatÂs why we stay at home just go to the supermarket when really necessary.. stay safe too ....,Positive
3868,48820,"Canvey Island, Essex, UK",16-03-2020,"CN - #Coronavirus #COVID19 

I will be in the group (and so will my Mum, who I live with) in the group that needs to be ""shielded"" for 12 weeks (3 months). This will mean staying in. I hope I can still get the online shopping that I need.",Positive
3870,48822,,16-03-2020,"Hi, COVID-19. Thanks for making me do more online shopping.",Positive
3873,48825,,16-03-2020,"@balajis On the consumer side - the tech is there (some Chinese group already demostrated ELISA test strips for COVID-19, though details were lacking). For consumer though @US_FDA would have to deem it as a waived test, which doesnÂt come that easily",Positive
3874,48826,MA & New England by way of CA,16-03-2020,Lost wages either due to illness from 19 or to the virus  economic impact will mean an increased demand We urge and to support a bill that includes support for food banks flexibility for and school meals and increased,Extremely Positive
